"","sens","gamma","z0","zi","L","zcut","deposition"
"293",3,0.28346,0.015748,0.58268,0.82677,0.93701,0.00013359420650007
"294",3,0.29134,0.89764,0.29134,0.7874,0.88189,0.000194544639492828
"295",3,0.29921,0.023622,0.52756,0.023622,0.89764,0.000196481157641963
"296",3,0.30709,0.88189,0.75591,0.76378,0.16535,0.000187827616703762
"297",3,0.31496,0.45669,0.047244,0.52756,0.11024,0.000176491183097973
"298",3,0.32283,0.40945,0.53543,0.74803,0.38583,0.000163173143792909
"299",3,0.33071,0.070866,0.28346,0.18898,0.71654,0.000146111084018318
"300",3,0.33858,0.33858,0.59843,0.20472,0.023622,0.000191179419888744
"301",3,0.34646,0.2126,0.59055,0.23622,0.77953,0.000167922413419051
"302",3,0.35433,0.55906,0.40157,0.94488,0.96063,0.000156438490883412
"303",3,0.3622,0.52756,0.1811,0.64567,0.22047,0.000158325886535043
"304",3,0.37008,0.62992,0.92913,0.8189,0.74016,0.000157488328584378
"305",3,0.37795,0.41732,0.070866,0,0.30709,0.000305208206441381
"306",3,0.38583,0.99213,0,0.37795,0.26772,0.000185328948215587
"307",3,0.3937,0.18898,0.84252,0.19685,0.24409,0.000153973333762768
"308",3,0.40157,0.92913,0.68504,0.66142,0.46457,0.000159678941468543
"309",3,0.40945,0.69291,0.32283,0.59055,0.1811,0.000152859763507155
"310",3,0.41732,0.62205,0.56693,0.094488,0.59843,0.000235977035001032
"311",3,0.4252,0.81102,0.15748,0.4252,0.95276,0.000163250478417176
"312",3,0.43307,0.37795,0.37795,0.88189,0.11811,0.000120382945823012
"313",3,0.44094,0.87402,1,0.40157,0.25197,0.000165101491402897
"314",3,0.44882,0.7874,0.17323,0.92126,0.3937,0.000132181754311582
"315",3,0.45669,0.32283,0.38583,0.46457,0.79528,0.000121705880082798
"316",3,0.46457,0.33071,0.086614,0.015748,0.33071,0.000303340021922876
"317",3,0.47244,0.14173,0.094488,0.55118,0.85827,9.32958449904362e-05
"318",3,0.48031,0.23622,0.4252,0.95276,0.91339,9.54686854867373e-05
"319",3,0.48819,0.92126,0.70079,0.22047,0.86614,0.000182959165320541
"320",3,0.49606,0.58268,0.27559,0.80315,0.61417,0.000116289400447971
"321",3,0.50394,0.82677,0.41732,0.31496,0.007874,0.000158610156229918
"322",3,0.51181,0.48819,0.31496,0.75591,0.80315,0.000109865700453747
"323",3,0.51969,0.93701,0.20472,0.11811,0.53543,0.000211192129748266
"324",3,0.52756,0.3622,0.90551,0.67717,0.88976,9.97460561678377e-05
"325",3,0.53543,0.14961,0.18898,0.59843,0.51181,7.72194130897257e-05
"326",3,0.54331,0.67717,0.14961,0.79528,0.70079,0.000111205739201771
"327",3,0.55118,0.3937,0.03937,0.83465,0.45669,9.10290508834324e-05
"328",3,0.55906,0.031496,0.25984,0.70079,0.77165,4.35455430352624e-05
"329",3,0.56693,0.062992,0.55118,0.055118,0.18898,0.000126677003071004
"330",3,0.5748,0.40157,0.015748,0.15748,0.34646,0.000154818294349498
"331",3,0.58268,0.6063,0.88976,0.22835,0.35433,0.000150435070002812
"332",3,0.59055,0.37008,0.93701,0.86614,0,8.27439429148883e-05
"333",3,0.59843,0.22047,0.65354,0.91339,0.75591,6.43908774172342e-05
"334",3,0.6063,0.055118,0.007874,0.85039,0.086614,3.96134585491088e-05
"335",3,0.61417,0.76378,0.77165,0.56693,0.84252,0.000114196167057769
"336",3,0.62205,0.49606,0.74803,0.27559,0.82677,0.000126700153487916
"337",3,0.62992,0.95276,0.3937,0.71654,0.76378,0.000110160219309471
"338",3,0.6378,0.38583,0.33858,0.48031,0.98425,9.27646375536082e-05
"339",3,0.64567,0.03937,0.34646,0.92913,0.31496,3.08473500255081e-05
"340",3,0.65354,0.48031,0.24409,0.031496,0.56693,0.000256997010134759
"341",3,0.66142,0.73228,0.33071,0.13386,0.92913,0.00017810844845765
"342",3,0.66929,0.15748,0.92126,0.41732,0.015748,6.50657561279257e-05
"343",3,0.67717,0.61417,0.19685,0.89764,0.54331,8.68713893693199e-05
"344",3,0.68504,0.74803,0.6378,0.33858,0.2126,0.00012548106395886
"345",3,0.69291,0.59055,0.96063,0.58268,0.99213,9.82884619648563e-05
"346",3,0.70079,0.22835,0.66142,0.70866,0.50394,6.11400614236136e-05
"347",3,0.70866,1,0.54331,0.62992,0.40945,0.000108589775050846
"348",3,0.71654,0.8189,0.70866,0.68504,0.51969,0.000100287449513322
"349",3,0.72441,0.56693,0.2126,0.93701,0.062992,7.9546757360336e-05
"350",3,0.73228,0.17323,0.73228,0.14961,0.3622,0.000101373833841077
"351",3,0.74016,0.12598,0.97638,0.62205,0.55118,4.66437508415578e-05
